keyword,canonical_keyword,volume,kd,cpc,topical_silo,primary_entity,entity_type,intent,intent_detail,cluster_label,recommended_page_type,target_live_url,target_local_url,resolved_local_url,page_title,page_id,page_layer,edit_mode,action_taken,coverage_status,coverage_signal,page_word_count,exact_present,canonical_present,entity_present,intent_signal_present,status_code,edit_url,support_key,managed_key,evidence_snippet
mcdonald's value meals,mcdonald's value meals,6900,51,0.43,Value & Deals,Extra Value Meals,menu_guide,overview,overview_general,Extra Value Meals - overview general,guide,https://mcdomenuusa.com/extra-value-meals/,http://localhost/wordpress/extra-value-meals/,http://localhost/wordpress/extra-value-meals/,McDonald's Extra Value Meals Prices USA,203,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,11530,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=203&action=edit,extra-value-meals,,"McDonald’s Extra Value Meals Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
hot fudge sundae,hot fudge sundae,6500,3,0.29,Sweets & Treats,Hot Fudge Sundae,product_variant,overview,overview_general,Hot Fudge Sundae - overview general,item,https://mcdomenuusa.com/menu/sweets-treats/hot-fudge-sundae/,http://localhost/wordpress/menu/sweets-treats/hot-fudge-sundae/,http://localhost/wordpress/menu/sweets-treats/hot-fudge-sundae/,Hot Fudge Sundae Price USA,466,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9451,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=466&action=edit,,sweets::hot-fudge-sundae,"Hot Fudge Sundae Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
sausage mcgriddle,sausage mcgriddle,6500,0,0.44,Breakfast,Sausage McGriddles,product_variant,overview,overview_general,Sausage McGriddles - overview general,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcgriddles/,http://localhost/wordpress/menu/breakfast-menu/sausage-mcgriddles/,http://localhost/wordpress/menu/breakfast-menu/sausage-mcgriddles/,Sausage McGriddles Price USA,377,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9474,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=377&action=edit,,breakfast::sausage-mcgriddles,"Sausage McGriddles Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcdvoice.com survey with receipt,mcdvoice,6200,2,0.04,Customer Journey,McDVoice Survey,service_page,service_task,service_survey,McDVoice Survey - service survey,service,https://mcdomenuusa.com/mcdvoice/,http://localhost/wordpress/mcdvoice/,http://localhost/wordpress/mcdvoice/,McDVoice Survey,1432,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,9953,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1432&action=edit,mcdvoice,,"en search phrases like McDonald’s survey code, mcdvoice survey with receipt, or mcdvoice.com survey with receipt code because they want to confirm they are using the correct entry point. The safest advice is to use the official surv"
mcdouble calories,mcdouble calories,6000,1,0.28,Burgers,McDouble,product_variant,nutrition,nutrition_macros,McDouble - nutrition macros,item,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/,http://localhost/wordpress/menu/burgers-menu/mcdouble/,http://localhost/wordpress/menu/burgers-menu/mcdouble/,McDouble Price USA,412,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9442,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=412&action=edit,,burgers::mcdouble,"ing context This McDouble page works best for readers searching mcdouble price, mcdouble calories, or the current Burgers listing without scanning the whole menu first. Right now the tracked reference shows $3.59 and "
mcchicken price,how much is a mcchicken,6000,0,0.4,Chicken & Fish,McChicken,product_variant,commercial,price_value,McChicken - price value,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,McChicken Price USA,428,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9458,Yes,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=428&action=edit,,chickenfish::mcchicken,"McChicken Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""h"
sausage egg mcmuffin,sausage egg mcmuffin,5900,33,0.05,Breakfast,Egg McMuffin,product_variant,overview,overview_general,Egg McMuffin - overview general,item,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,Egg McMuffin Price USA,373,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9474,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=373&action=edit,,breakfast::egg-mcmuffin,"Egg McMuffin Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
chicken mcnuggets,mcdonald's chicken mcnuggets,5900,0,0.23,Value & Deals,Chicken McNuggets,product_family,overview,overview_general,Chicken McNuggets - overview general,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9597,Yes,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
big mac meal price,big mac meal price,5700,69,0.38,Value & Deals,Big Mac Meal,product_variant,commercial,price_value,Big Mac Meal - price value,item,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/,http://localhost/wordpress/menu/extra-value-meals/big-mac-meal/,http://localhost/wordpress/menu/extra-value-meals/big-mac-meal/,Big Mac Meal Price USA,312,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,9540,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=312&action=edit,,meals::big-mac-meal,"Big Mac Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""h"
mcdonald french fries,mcdonald french fries,5400,2,0.11,Fries & Sides,World Famous Fries Small,product_variant,overview,overview_general,World Famous Fries Small - overview general,item,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-small/,http://localhost/wordpress/menu/fries-sides/world-famous-fries-small/,http://localhost/wordpress/menu/fries-sides/world-famous-fries-small/,World Famous Fries Small Price USA,445,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9542,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=445&action=edit,,sides::world-famous-fries-small,"World Famous Fries Small Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's prices,mcdonald's menu with prices 2025,5100,62,0.27,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/mcdonalds-prices-by-state-2/,McDonald's Prices by State,1158,Normal WordPress page,Normal WordPress page editor,Present on the existing page,Exact keyword present,Exact keyword string found on the mapped rendered page,10861,Yes,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1158&action=edit,,,"McDonald’s Prices by State | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@i"
mcdvoice survey,mcdvoice,4900,2,0.04,Customer Journey,McDVoice Survey,service_page,service_task,service_survey,McDVoice Survey - service survey,service,https://mcdomenuusa.com/mcdvoice/,http://localhost/wordpress/mcdvoice/,http://localhost/wordpress/mcdvoice/,McDVoice Survey,1432,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Exact keyword present,Exact keyword string found on the mapped rendered page,9953,Yes,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1432&action=edit,mcdvoice,,"McDVoice Survey | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http:"
$5 meal deal mcdonald's,mcdonalds $5 meal deal,4800,10,0.18,Value & Deals,Extra Value Meals,menu_guide,commercial,price_value,Extra Value Meals - price value,guide,https://mcdomenuusa.com/extra-value-meals/,http://localhost/wordpress/extra-value-meals/,http://localhost/wordpress/extra-value-meals/,McDonald's Extra Value Meals Prices USA,203,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,11530,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=203&action=edit,extra-value-meals,,"McDonald’s Extra Value Meals Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcdonald's menu prices,mcdonald's menu with prices 2025,4800,60,0.26,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Exact keyword present,Exact keyword string found on the mapped rendered page,12739,Yes,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpress/#pe"
mcdonald's double cheeseburger calories,mcdonald's double cheeseburger calories,4700,0,2.15,Burgers,Double Cheeseburger,product_variant,nutrition,nutrition_macros,Double Cheeseburger - nutrition macros,item,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,http://localhost/wordpress/menu/burgers-menu/double-cheeseburger/,http://localhost/wordpress/menu/burgers-menu/double-cheeseburger/,Double Cheeseburger Price USA,414,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9468,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=414&action=edit,,burgers::double-cheeseburger,"Double Cheeseburger Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonalds chicken nuggets,mcdonald's chicken mcnuggets,4600,0,0.5,Value & Deals,Chicken McNuggets,product_family,overview,overview_general,Chicken McNuggets - overview general,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
chicken nuggets mcdonalds,mcdonald's chicken mcnuggets,4600,0,0.32,Value & Deals,Chicken McNuggets,product_family,overview,overview_general,Chicken McNuggets - overview general,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
bigmac,mcdonald's big mac,4500,41,0.06,Burgers,Big Mac,product_variant,overview,overview_general,Big Mac - overview general,item,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,Big Mac Price USA,405,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9477,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=405&action=edit,,burgers::big-mac,"Big Mac Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
